NAME	StromalScore	ImmuneScore	ESTIMATEScore
CR2849P9	-1660.159739	-587.9058273	-2248.065566
CR5065P0	-622.9395125	-384.052512	-1006.992025
LU2535P5	235.9480775	1931.837137	2167.785214
ES0199P5	-869.645323	-494.9763313	-1364.621654
SA10233P0	-888.4539827	-559.5244835	-1447.978466
CR5085P0	-802.5834587	-103.3165892	-905.9000479
CR15339P3	-537.4347593	-134.0309787	-671.4657381
LU2527P3	-1606.671214	-1151.23976	-2757.910974
LY2390P7	-591.6917194	2089.058486	1497.366766
BL5384P1	-2087.561497	-973.6448737	-3061.206371
ME13974P1	-1124.066061	-582.5410916	-1706.607152
LU5228P3	-2232.5995	-1733.188707	-3965.788207
BN6304P4	305.4505626	-135.9211068	169.5294557
ME11978P1	-1343.99786	-310.3750433	-1654.372903
CR1795P3	-1870.648471	-1561.393981	-3432.042452
OV15398P0	719.3460337	1238.286251	1957.632285
UT5321P2	-1236.713384	-368.4583646	-1605.171749
LU5239P1	-1950.865071	-1418.589363	-3369.454434
LU1901P6	-798.1559735	422.4036047	-375.7523688
CR1634P3	599.166736	777.3219458	1376.488682
ME3332P4	-842.9218797	-671.4225649	-1514.344445
SA10245P0	224.9311312	-310.315845	-85.38471384
ME12098P0	-1267.251613	-622.019992	-1889.271605
ME12037P0	-411.7168069	-113.8654093	-525.5822162
PA3065P6	-345.4563815	768.6233025	423.166921
AL5568P1	-1309.633437	2059.537567	749.9041302
LU5261P3	-1870.112642	-1556.509035	-3426.621677
LU5169P1	-507.4590282	-15.49327522	-522.9523034
CR6248P6	-1037.459826	215.812562	-821.6472636
LU5407P0	-925.5188679	-599.7908928	-1525.309761
CR2524P4	-1894.855712	-650.1158594	-2544.971571
SA10123P0	148.0508829	-650.9835696	-502.9326867
PA6230P5	-1111.426592	-456.2869918	-1567.713584
CR2520P5	-1121.635581	-471.6024931	-1593.238074
ME14013P0	116.8201343	257.4350342	374.2551685
LU1380P2	-1573.605688	-1092.047008	-2665.652696
CR2506P3	-607.8879788	215.6310304	-392.2569485
CR5032P1	-1838.562516	-935.7583561	-2774.320872
CR3595P2	-1231.653036	-741.0862917	-1972.739328
ME11979P0	-1340.397795	-972.3145367	-2312.712332
GS11339P0	-245.0372348	-108.8368125	-353.8740473
ME12220P0	-750.9239211	-590.4452737	-1341.369195
ME12052P0	-1210.449796	-301.6602281	-1512.110025
LI1004P4	-658.1550295	104.4125196	-553.7425099
CR5057P0	-1232.594483	-655.3282377	-1887.922721
MU12603P0	-1342.599867	-790.4731462	-2133.073013
LI6716P4	-1076.41865	-445.6608378	-1522.079488
ME12179P1	-649.9936534	76.89441438	-573.099239
LU1775P2	-1184.462452	-24.87766178	-1209.340114
LU5153P3	-935.4840493	-169.735253	-1105.219302
LU0743P5	-1633.04545	-1231.115846	-2864.161296
GA0098P5	-412.6485696	292.7805297	-119.86804
CR6249P4	-1080.377788	-483.9281287	-1564.305916
