ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-4Z-AA7N-01	714.25	2160.94	2875.19
TCGA-4Z-AA7O-01	-790.23	149.25	-640.98
TCGA-4Z-AA7Q-01	-735.76	1299.58	563.82
TCGA-4Z-AA7R-01	-1085.7	-1030.94	-2116.64
TCGA-4Z-AA7S-01	-1504.53	-1052.47	-2557
TCGA-4Z-AA7W-01	-310.27	2263.79	1953.52
TCGA-4Z-AA7Y-01	-1845.87	-889.68	-2735.56
TCGA-4Z-AA80-01	-1899.76	-952.92	-2852.69
TCGA-4Z-AA81-01	-1440.73	333.95	-1106.78
TCGA-4Z-AA82-01	-344.4	-107.52	-451.92
TCGA-4Z-AA83-01	-983.87	65.44	-918.43
TCGA-4Z-AA84-01	-1127.32	-826.2	-1953.52
TCGA-4Z-AA86-01	482.06	1333.9	1815.97
TCGA-4Z-AA87-01	-948.59	135.7	-812.89
TCGA-4Z-AA89-01	-2344.59	-482.46	-2827.05
TCGA-5N-A9KI-01	-189.44	217.42	27.98
TCGA-5N-A9KM-01	-315.97	355.34	39.37
TCGA-BL-A0C8-01	-730.89	-700.5	-1431.39
TCGA-BL-A13I-01	740.38	1930.79	2671.17
TCGA-BL-A13J-01	-220.89	-519.27	-740.16
TCGA-BL-A3JM-01	-656.99	-708.01	-1365.01
TCGA-BL-A5ZZ-01	845.92	660.17	1506.09
TCGA-BT-A0S7-01	-644.29	-560.3	-1204.59
TCGA-BT-A0YX-01	-761.04	446.25	-314.79
TCGA-BT-A20J-01	-476.29	1313.91	837.61
TCGA-BT-A20N-01	-1211.55	-1100.96	-2312.51
TCGA-BT-A20O-01	949.5	2816.03	3765.53
TCGA-BT-A20P-01	-1637.91	-818.92	-2456.82
TCGA-BT-A20Q-01	249.68	487.05	736.73
TCGA-BT-A20R-01	766.75	18.41	785.16
TCGA-BT-A20T-01	-192.84	248.09	55.25
TCGA-BT-A20U-01	-503.19	-240.79	-743.98
TCGA-BT-A20V-01	-1791.8	-70.88	-1862.68
TCGA-BT-A20W-01	-776.97	-37.11	-814.08
TCGA-BT-A20X-01	-443.51	-38.59	-482.1
TCGA-BT-A2LA-01	-1558.56	-1869.18	-3427.74
TCGA-BT-A2LB-01	16.96	456.95	473.91
TCGA-BT-A2LD-01	-772.44	-274.36	-1046.8
TCGA-BT-A3PH-01	-1169.71	-778.61	-1948.32
TCGA-BT-A3PJ-01	-755.83	596.03	-159.8
TCGA-BT-A3PK-01	143.67	477.63	621.31
TCGA-BT-A42C-01	-1863.09	-815.04	-2678.13
TCGA-BT-A42E-01	-641.37	1184.78	543.41
TCGA-BT-A42F-01	-427.95	1573.82	1145.87
TCGA-C4-A0EZ-01	-1432.34	-1657.52	-3089.86
TCGA-C4-A0F0-01	-423.59	267.75	-155.83
TCGA-C4-A0F1-01	-542.92	-165.48	-708.39
TCGA-C4-A0F6-01	-528.12	-374.57	-902.69
TCGA-C4-A0F7-01	-1105.06	-869.53	-1974.59
TCGA-CF-A1HR-01	-992.01	-122.38	-1114.39
TCGA-CF-A1HS-01	-797.98	187.57	-610.42
TCGA-CF-A27C-01	-2223.46	-791.23	-3014.69
TCGA-CF-A3MF-01	-1407.91	-735.45	-2143.36
TCGA-CF-A3MG-01	-2263.3	-953.31	-3216.61
TCGA-CF-A3MH-01	-2071.39	-604.62	-2676.01
TCGA-CF-A3MI-01	-1219.55	-109.91	-1329.46
TCGA-CF-A47S-01	-1645.17	-178.37	-1823.54
TCGA-CF-A47T-01	-1423.86	-905.58	-2329.44
TCGA-CF-A47V-01	-926.41	-49.82	-976.23
TCGA-CF-A47W-01	-1848.32	-821.95	-2670.27
TCGA-CF-A47X-01	-1843.93	-979.79	-2823.71
TCGA-CF-A47Y-01	-1728.21	-790.78	-2518.99
TCGA-CF-A5U8-01	-1866.4	-876.06	-2742.46
TCGA-CF-A5UA-01	-1781.26	-737.9	-2519.17
TCGA-CF-A7I0-01	-565.78	-487.98	-1053.77
TCGA-CF-A8HX-01	-1721.32	-920.61	-2641.92
TCGA-CF-A8HY-01	-1819.6	-513.04	-2332.64
TCGA-CF-A9FF-01	-763.55	-126.47	-890.02
TCGA-CF-A9FH-01	-2030.93	-597.97	-2628.89
TCGA-CF-A9FL-01	-480.63	-479.84	-960.47
TCGA-CF-A9FM-01	-1704.04	-243.4	-1947.45
TCGA-CU-A0YN-01	-248.38	379.88	131.49
