TestModel,Mouseratio,DuplicateModel,Vendor,TestModel2,Cancer,TumorPurity
CV10957-R1P1-20190918-33996-RB,14.9,CV10957,NOD/SCID;,CV10957,CV,85.1
CV10957-R1P0-24309,22.66,CV10957,NOD/SCID;,CV10957,CV,77.34
LU11548-R2P4-30545-2021-01-05,37.84,LU11548,NOD/SCID;,LU11548,LU,62.16
BL5439-R1P0-20210427-R-14023-20210629,65.86,BL5439,NOD/SCID;,BL5439,BL,34.14
GA15725-R1P0-77306-RF,3.06,GA15725,NOD/SCID;,GA15725,GA,96.94
ME9363-R2P6-20200616-R-46770-20200922,16.07,ME9363,NOD/SCID;,ME9363,ME,83.93
ME9375-R1P2-20180418-R-49672-20180704,4.64,ME9375,NOD/SCID;,ME9375,ME,95.36
CR2904-R1P1-84800-20201208,10.61,CR2904,NOD/SCID;,CR2904,CR,89.39
ME9385-R2P3-20200618-R-45125-20200908,3.64,ME9385,NOD/SCID;,ME9385,ME,96.36
GA13741-R1P1-20190918-33733,15.92,GA13741,NOD/SCID;,GA13741,GA,84.08
FT11219-R1P2-20200728-12339-20002027,15.54,FT11219,NOD/SCID;,FT11219,FT,84.46
CR9505-R1P3-97393,22.95,CR9505,NOD/SCID;,CR9505,CR,77.05
CR2972-R1P0-93521-20201208,5.33,CR2972,NOD/SCID;,CR2972,CR,94.67
CV10072-R1P0-85098-20201117,2.81,CV10072,NOD/SCID;,CV10072,CV,97.19
ME13990-R1P1-23890,49.31,ME13990,NOD/SCID;,ME13990,ME,50.69
SA4234-R2P2-20210202-29541-20210413,9.5,SA4234,NOD/SCID;,SA4234,SA,90.5
LU11951-R3P3-55932-55933-55934-20210511,19.28,LU11951,NOD/SCID;,LU11951,LU,80.72
LU5200-R1P3-25055,66.03,LU5200,NOD/SCID;,LU5200,LU,33.97
SA13536-R1P0-20210511-R-15806-20210706,13.75,SA13536,NOD/SCID;,SA13536,SA,86.25
GA13741-R1P0-33735,11.73,GA13741,NOD/SCID;,GA13741,GA,88.27
ES3858-R2P3-20201202-R-17924-20210601,19.64,ES3858,NOD/SCID;,ES3858,ES,80.36
TH13834-R1P1-20190731-31434-20201103,12.06,TH13834,NOD/SCID;,TH13834,TH,87.94
ES3907-R2P3-20201202-R-17883-20210309,7.87,ES3907,NOD/SCID;,ES3907,ES,92.13
SA10160-R2P5-98448-20210223,4.39,SA10160,NOD/SCID;,SA10160,SA,95.61
CV10926-R1P3-54010-20210126,19.04,CV10926,NOD/SCID;,CV10926,CV,80.96
CV10928-R1P0-20200701-R-13406-20201117,1.31,CV10928,NOD/SCID;,CV10928,CV,98.69
BL9202-R2P3-20200520-R-41467,27.91,BL9202,NOD/SCID;,BL9202,BL,72.09
BR2401-R1P4-20150126-75482-20210518,46.38,BR2401,NOD/SCID;,BR2401,BR,53.62
TH13834-R1P7-20210202-23901-20210427,17.13,TH13834,NOD/SCID;,TH13834,TH,82.87
CR2904-R1P2-86639-20201208,19.49,CR2904,NOD/SCID;,CR2904,CR,80.51
LU5270-R1P5-20200303-43145,9.72,LU5270,NOD/SCID;,LU5270,LU,90.28
SA4183-R1P6-20201201-17624-20210420,90.16,SA4183,NOD/SCID;,SA4183,SA,9.84
GA0095-R21P6-28502-20210608,69.61,GA0095,NOD/SCID;,GA0095,GA,30.39
AM8231-P2-LI-20200114Q-2020-6-22-1,82.17,AM8231,NOD/SCID;,AM8231,AM,17.83
CC9326-R2P6-28800-20210629,42.08,CC9326,NOD/SCID;,CC9326,CC,57.92
ME9388-R2P3-20200618-R-46798-20200915,12.65,ME9388,NOD/SCID;,ME9388,ME,87.35
CV14776-R1P1-20200218-43853,53.57,CV14776,NOD/SCID;,CV14776,CV,46.43
AL5644-P0-19159-SP-20210316,16.09,AL5644,NOD/SCID;,AL5644,AL,83.91
BN10475-R1P3-20200707-13028-20200908,40.2,BN10475,NOD/SCID;,BN10475,BN,59.8
CV10955-R1P1-88763,15.81,CV10955,NOD/SCID;,CV10955,CV,84.19
CR5066-R1P4-20181212-20662-20210223,0.44,CR5066,NOD/SCID;,CR5066,CR,99.56
ME12068-R2P3-52321-20201103,5.34,ME12068,NOD/SCID;,ME12068,ME,94.66
BR5017-R1P4-51625-202012229,4.89,BR5017,NOD/SCID;,BR5017,BR,95.11
LU11548-R2P6-20210317-22230-20210511,15.36,LU11548,NOD/SCID;,LU11548,LU,84.64
SA4254-R1P0-20190430-27791-20201124,6.7,SA4254,NOD/SCID;,SA4254,SA,93.3
OV5308-R4P7-29963-20210601,10.2,OV5308,NOD/SCID;,OV5308,OV,89.8
ES3870-R1P8-33490,28.63,ES3870,NOD/SCID;,ES3870,ES,71.37
BN10475-R1P1-202035-43107,68.35,BN10475,NOD/SCID;,BN10475,BN,31.65
CV10955-R1P0-85144,15.66,CV10955,NOD/SCID;,CV10955,CV,84.34
BN10475-R1P0-20191030-38204,62.46,BN10475,NOD/SCID;,BN10475,BN,37.54
BL9211-R1P5-18094-RF,16.35,BL9211,NOD/SCID;,BL9211,BL,83.65
GA3177-R2P1-20160505-21457-20210608,65.28,GA3177,NOD/SCID;,GA3177,GA,34.72
SA13354-R2P6-51300-20201110,8.34,SA13354,NOD/SCID;,SA13354,SA,91.66
SA4143-R1P1-20180125-45950-20210126,0.39,SA4143,NOD/SCID;,SA4143,SA,99.61
CV14776-R1P3-20200427-47766,13.73,CV14776,NOD/SCID;,CV14776,CV,86.27
ME12131-R2P4-16800-20210601,7.45,ME12131,NOD/SCID;,ME12131,ME,92.55
GL4115-R1P2-20180130-46621-20201215,26.2,GL4115,NOD/SCID;,GL4115,GL,73.8
LU5157-R5P8-52354-20201222,20.71,LU5157,NOD/SCID;,LU5157,LU,79.29
ES3897-R1P1-201601012-27268-20210126,49.95,ES3897,NOD/SCID;,ES3897,ES,50.05
LY9615-R1P1-20210508-20023-20210622,4.93,LY9615,NOD/SCID;,LY9615,LY,95.07
BL9215-R1P3-20180409-49143-20200908,51.79,BL9215,NOD/SCID;,BL9215,BL,48.21
BN10475-R1P2-20200512-41254,36.85,BN10475,NOD/SCID;,BN10475,BN,63.15
ES3911-R1P0-27020,59.17,ES3911,NOD/SCID;,ES3911,ES,40.83
KI11450-R1P0-99371-20200908,27.02,KI11450,NOD/SCID;,KI11450,KI,72.98
LU5245-R1P3-87177,69.18,LU5245,NOD/SCID;,LU5245,LU,30.82
LY12951-R1P2-83680-RB,6.36,LY12951,NOD/SCID;,LY12951,LY,93.64
AM8231-P2-TU-20200114A-2020-7-8,6.23,AM8231,NOD/SCID;,AM8231,AM,93.77
CR5073-R1P3-20181030-82102-20210713,10.59,CR5073,NOD/SCID;,CR5073,CR,89.41
AM8231-P2-SP-20200114A-2020-6-28,20.81,AM8231,NOD/SCID;,AM8231,AM,79.19
AM8231-P2-SP-20200114A-2020-7-8,23.4,AM8231,NOD/SCID;,AM8231,AM,76.6
GA1346-P1-120103,20.29,GA1346,NOD/SCID;,GA1346,GA,79.71
GA1346-P0-111115,10.85,GA1346,NOD/SCID;,GA1346,GA,89.15
AM8231-P2-SP-20200114Q-2020-6-16,25.75,AM8231,NOD/SCID;,AM8231,AM,74.25
AM8231-P2-TU-20200114Q-2020-6-22,5.5,AM8231,NOD/SCID;,AM8231,AM,94.5
AM8231-P2-TU-20200114A-2020-6-28,3.64,AM8231,NOD/SCID;,AM8231,AM,96.36
BN10445-R1P3-202048-44928,26.39,BN10445,NOD/SCID;,BN10445,BN,73.61
AM8231-P2-TU-20200114Q-2020-6-16-1,2.14,AM8231,NOD/SCID;,AM8231,AM,97.86
AM8231-P2-SP-20200114Q-2020-6-22,10.05,AM8231,NOD/SCID;,AM8231,AM,89.95
CR9269-R1P3-20180329-R-48822-2018-6-8,25.36,CR9269,NOD/SCID;,CR9269,CR,74.64
LY12935-R1P0-20210511-R-21996-20210713,8.67,LY12935,NOD/SCID;,LY12935,LY,91.33
AM8231-P2-TU-20200114Q-2020-7-7,3.44,AM8231,NOD/SCID;,AM8231,AM,96.56
AM8231-P2-SP-20200114Q-2020-7-7-1,21.56,AM8231,NOD/SCID;,AM8231,AM,78.44
PA5363-R2P6-98666-20201013,40,PA5363,NOD/SCID;,PA5363,PA,60
SA4263-R1P3-39350,56.14,SA4263,NOD/SCID;,SA4263,SA,43.86
PA5411-R1P3-23249,40.95,PA5411,NOD/SCID;,PA5411,PA,59.05
SA10159-R2P4-94236-20210223,2.2,SA10159,NOD/SCID;,SA10159,SA,97.8
LU11714-R2P6-55412-55413-55414-20210518,19.2,LU11714,NOD/SCID;,LU11714,LU,80.8
BL2350-R3P4-20150122-75237-20201222,22.9,BL2350,NOD/SCID;,BL2350,BL,77.1
ES11082-R2P3-19438-20210608,5.56,ES11082,NOD/SCID;,ES11082,ES,94.44
LU11586-R1P3-20181016-18398-20210302,24.54,LU11586,NOD/SCID;,LU11586,LU,75.46
AM8231-P3-TU-20200324B-2020827,5.85,AM8231,NOD/SCID;,AM8231,AM,94.15
AM8231-P3-SP-20200617A-20201010,14.94,AM8231,NOD/SCID;,AM8231,AM,85.06
AM8231-P3-SP-20200324B-2020827,21.14,AM8231,NOD/SCID;,AM8231,AM,78.86
AM8231-P2-SP-20200114A-30,24.43,AM8231,NOD/SCID;,AM8231,AM,75.57
AM8231-P2-TU-20200114A-29,2.57,AM8231,NOD/SCID;,AM8231,AM,97.43
AM8231-P3-SP-20200324B-2020901,18.58,AM8231,NOD/SCID;,AM8231,AM,81.42
AM7670-P1-BM-20200915Z-20210307-20210330,33.42,AM7670,NOD/SCID;,AM7670,AM,66.58
AM8231-P3-SP-TU-20200324B-20200918,10.22,AM8231,NOD/SCID;,AM8231,AM,89.78
BR5011-R3P5-24369-20210126,11.62,BR5011,NOD/SCID;,BR5011,BR,88.38
AM8231-P3-SP-20200617A-20200929,21.43,AM8231,NOD/SCID;,AM8231,AM,78.57
AM8231-P2-SP-20200114A-Y,23.91,AM8231,NOD/SCID;,AM8231,AM,76.09
AM8231-P0-20160825,13.52,AM8231,NOD/SCID;,AM8231,AM,86.48
ES3866-R1P1-20160721-24411,39.39,ES3866,NOD/SCID;,ES3866,ES,60.61
ES3885-R1P9-77534-RF,6.76,ES3885,NOD/SCID;,ES3885,ES,93.24
ES3885-R1P1-27282,9.6,ES3885,NOD/SCID;,ES3885,ES,90.4
AM8231-P1sp20170929,32.91,AM8231,NOD/SCID;,AM8231,AM,67.09
BL9214-R1P2-49376-LF,7.75,BL9214,NOD/SCID;,BL9214,BL,92.25
BN10394-R1P1-30134-RB,5.13,BN10394,NOD/SCID;,BN10394,BN,94.87
BN10394-R1P0-14185-LF,4.48,BN10394,NOD/SCID;,BN10394,BN,95.52
CV14776-R1P0-20191227-40265,68.36,CV14776,NOD/SCID;,CV14776,CV,31.64
LI2859-R1P3-80635-LF,10.47,LI2859,NOD/SCID;,LI2859,LI,89.53
ME12151-R1P1-20191010-31402,14.64,ME12151,NOD/SCID;,ME12151,ME,85.36
LU5262-R3P4-20210324-R-28246-20210601,11.64,LU5262,NOD/SCID;,LU5262,LU,88.36
AL5691-P2-20180802-14159-20210316,11.88,AL5691,NOD/SCID;,AL5691,AL,88.12
CV14776-R1P4-20200519-41616,11.78,CV14776,NOD/SCID;,CV14776,CV,88.22
ME12131-R1P3-20170509-65078-20210406,5.08,ME12131,NOD/SCID;,ME12131,ME,94.92
ES11065-R1P3-20190507-27630,35.69,ES11065,NOD/SCID;,ES11065,ES,64.31
CR5087-R2P4-23266,13.35,CR5087,NOD/SCID;,CR5087,CR,86.65
LU1116-R10P4-22620,11.63,LU1116,NOD/SCID;,LU1116,LU,88.37
OV2027-R5P5-20200901-R-10749-20210309,34.38,OV2027,NOD/SCID;,OV2027,OV,65.62
LY12954-R1P0-77529-RB,4.62,LY12954,NOD/SCID;,LY12954,LY,95.38
OV5308-R1P5-20190514-87194-20200915,12.79,OV5308,NOD/SCID;,OV5308,OV,87.21
BR3116-P1-20201124,21.56,BR3116,NOD/SCID;,BR3116,BR,78.44
GS11341-R1P1-50375-202012229,1.9,GS11341,NOD/SCID;,GS11341,GS,98.1
CR5051-R1P3-20190724-23861-20210223,4.56,CR5051,NOD/SCID;,CR5051,CR,95.44
ES11087-R2P4-32170,11.58,ES11087,NOD/SCID;,ES11087,ES,88.42
ES11087-R2P2-24933,4.48,ES11087,NOD/SCID;,ES11087,ES,95.52
CR9240-R1P3-20180607-16144-20201124,18.79,CR9240,NOD/SCID;,CR9240,CR,81.21
CV10926-R1P3-54010-20210316,9.3,CV10926,NOD/SCID;,CV10926,CV,90.7
BR1458-R14P7-17225-20210223,20.9,BR1458,NOD/SCID;,BR1458,BR,79.1
ME12131-R1P4-67044-20201124,4.89,ME12131,NOD/SCID;,ME12131,ME,95.11
CR11372-R2P3-20190829-32860-20210223,8.11,CR11372,NOD/SCID;,CR11372,CR,91.89
LU5161-R1P5-19911,23.92,LU5161,NOD/SCID;,LU5161,LU,76.08
LU5245-R4P3-95185,41.75,LU5245,NOD/SCID;,LU5245,LU,58.25
LU5194-R2P4-89765,29.13,LU5194,NOD/SCID;,LU5194,LU,70.87
OV2027-R1P4-20160308-51603-20200908,46.44,OV2027,NOD/SCID;,OV2027,OV,53.56
LU5245-R4P3-95183,37.8,LU5245,NOD/SCID;,LU5245,LU,62.2
CR3211-R6P2-20210208-29842-20210622,37.05,CR3211,NOD/SCID;,CR3211,CR,62.95
ES11074-R2P4-91828,13.96,ES11074,NOD/SCID;,ES11074,ES,86.04
GA13766-R1P2-20190506-R-27753,18.67,GA13766,NOD/SCID;,GA13766,GA,81.33
ES0148-R17P7-10945-20201208,0.57,ES0148,NOD/SCID;,ES0148,ES,99.43
LU5197-R1P5-26864-20210420,9.8,LU5197,NOD/SCID;,LU5197,LU,90.2
PR6513-R2P9-50833-20201027,21.58,PR6513,NOD/SCID;,PR6513,PR,78.42
HN3712-R3P5-20201111-R-19200-20210112,29.83,HN3712,NOD/SCID;,HN3712,HN,70.17
LU11784-R2P6-53546-20201201,22.41,LU11784,NOD/SCID;,LU11784,LU,77.59
SA10137-R1P2-20200109-40488,51.04,SA10137,NOD/SCID;,SA10137,SA,48.96
CR5038-R5P5-93208,8.58,CR5038,NOD/SCID;,CR5038,CR,91.42
ES3853-R2P1-20201202-R-17934-20210601,63.66,ES3853,NOD/SCID;,ES3853,ES,36.34
OV2423-R5P6-50313-20201103,24.32,OV2423,NOD/SCID;,OV2423,OV,75.68
CR5030-R2P4-17950-20210330,10.84,CR5030,NOD/SCID;,CR5030,CR,89.16
CR5038-R4P3-83480,13.18,CR5038,NOD/SCID;,CR5038,CR,86.82
LU11772-R1P4-36735,33.93,LU11772,NOD/SCID;,LU11772,LU,66.07
PA5403-R2P4-94246,41.26,PA5403,NOD/SCID;,PA5403,PA,58.74
LU11784-R2P3-99676,41.69,LU11784,NOD/SCID;,LU11784,LU,58.31
KI11409-R1P2-25303-RF,48.99,KI11409,NOD/SCID;,KI11409,KI,51.01
CR5028-R1P4-33934,20.59,CR5028,NOD/SCID;,CR5028,CR,79.41
MU12527-R2P2-22599,3.67,MU12527,NOD/SCID;,MU12527,MU,96.33
CR5066-P3-448-492-497,38.98,CR5066,NOD/SCID;,CR5066,CR,61.02
LU5262-R1P3-20160105-87866-20210330,23.48,LU5262,NOD/SCID;,LU5262,LU,76.52
SA10157-R1P3-84227-RF,28.71,SA10157,NOD/SCID;,SA10157,SA,71.29
ES2311-R8P2-91988,29.03,ES2311,NOD/SCID;,ES2311,ES,70.97
LU5159-P3-20200521-XO0889,0.51,LU5159,NOD/SCID;,LU5159,LU,99.49
BR1458-R14P8-29843-20210420,43.93,BR1458,NOD/SCID;,BR1458,BR,56.07
KI11409-R2P6-93110,21.26,KI11409,NOD/SCID;,KI11409,KI,78.74
KI11450-R1P1-51244-20201103,17.96,KI11450,NOD/SCID;,KI11450,KI,82.04
HN3067-R14P5-17460-20210223,41.67,HN3067,NOD/SCID;,HN3067,HN,58.33
OV15576-R1P2-84775,28.94,OV15576,NOD/SCID;,OV15576,OV,71.06
ES11074-R1P3-28807-LB,12.44,ES11074,NOD/SCID;,ES11074,ES,87.56
LU5159-R1P5-21110,29.35,LU5159,NOD/SCID;,LU5159,LU,70.65
OV5294-R2P3-20190702-9818,37.94,OV5294,NOD/SCID;,OV5294,OV,62.06
AL7142-P4-20190523,14.8,AL7142,NOD/SCID;,AL7142,AL,85.2
LU11953-R2P6-20170725-1832,3.8,LU11953,NOD/SCID;,LU11953,LU,96.2
CR5091-R2P9-20180814-79453-20200901,23.26,CR5091,NOD/SCID;,CR5091,CR,76.74
ES11065-R2P4-20200511-49372,10.56,ES11065,NOD/SCID;,ES11065,ES,89.44
ME9367-R1P2-20180402-48773-20201124,7.58,ME9367,NOD/SCID;,ME9367,ME,92.42
OV5294-R2P5-34761,19.22,OV5294,NOD/SCID;,OV5294,OV,80.78
ES11065-R1P2-20767-RF,19.05,ES11065,NOD/SCID;,ES11065,ES,80.95
GL11306-R1P2-20210119-25893-20210323,56.57,GL11306,NOD/SCID;,GL11306,GL,43.43
OV2034-R1P10-20161109-59238-20210511,24.7,OV2034,NOD/SCID;,OV2034,OV,75.3
OV2034-R1P8-20160413-52821-20210105,8.43,OV2034,NOD/SCID;,OV2034,OV,91.57
OV5308-R1P5-87193,43.24,OV5308,NOD/SCID;,OV5308,OV,56.76
ES11065-R2P5-20200604-46302,22.99,ES11065,NOD/SCID;,ES11065,ES,77.01
ME12000-R1P4-36508,2.42,ME12000,NOD/SCID;,ME12000,ME,97.58
PE16832-R1P2-51252-20201103,25.84,PE16832,NOD/SCID;,PE16832,PE,74.16
LU11586-R1P4-19794-RF,41.58,LU11586,NOD/SCID;,LU11586,LU,58.42
UT3774-R1P3-20160510-21764-20210608,9.25,UT3774,NOD/SCID;,UT3774,UT,90.75
SA13354-R1P2-20190327-21154-20210223,6.35,SA13354,NOD/SCID;,SA13354,SA,93.65
AM7407-P2-LI-20210303E-20210623-20210629,55.75,AM7407,NOD/SCID;,AM7407,AM,44.25
LU13953-R2P6-98836-20201013,5.01,LU13953,NOD/SCID;,LU13953,LU,94.99
MU12778-R2P4-96701-20200825,11.4,MU12778,NOD/SCID;,MU12778,MU,88.6
BR5484-P1-2000080701-6,15.16,BR5484,NOD/SCID;,BR5484,BR,84.84
CR2179-R7P2-20191203-R-39365,8.23,CR2179,NOD/SCID;,CR2179,CR,91.77
BR5013-R2P2-50754-20201013,32.83,BR5013,NOD/SCID;,BR5013,BR,67.17
PR6513-R2P5-84875,25.59,PR6513,NOD/SCID;,PR6513,PR,74.41
CR5098-R2P5-20200602-46326,10.07,CR5098,NOD/SCID;,CR5098,CR,89.93
GS11360-P1-2010010533-5,19.81,GS11360,NOD/SCID;,GS11360,GS,80.19
PE17633-R1P1-51030-20210105,22.33,PE17633,NOD/SCID;,PE17633,PE,77.67
LU11951-R2P5-32181,33.75,LU11951,NOD/SCID;,LU11951,LU,66.25
CR5048-R1P3-20181219-25640,37.51,CR5048,NOD/SCID;,CR5048,CR,62.49
OV2027-R1P3-86461,35.15,OV2027,NOD/SCID;,OV2027,OV,64.85
ME12045-R1P3-2070314-33411,4.19,ME12045,NOD/SCID;,ME12045,ME,95.81
PA2031-P17-20200529-XO0737,0.02,PA2031,NOD/SCID;,PA2031,PA,99.98
ME12141-R1P3-20170406-32945,8.12,ME12141,NOD/SCID;,ME12141,ME,91.88
LU6424-R6P15-24181-20201110,63.28,LU6424,NOD/SCID;,LU6424,LU,36.72
CR11372-R2P2-22003,10.47,CR11372,NOD/SCID;,CR11372,CR,89.53
PA13037-R1P6-98412-20210223,30.67,PA13037,NOD/SCID;,PA13037,PA,69.33
FT11142-R1P3-20210323-28145-20210622,8.6,FT11142,NOD/SCID;,FT11142,FT,91.4
GA3049-R10P3-57452-57453-20210629,15.56,GA3049,NOD/SCID;,GA3049,GA,84.44
SA13284-R1P2-21419-LF,5.27,SA13284,NOD/SCID;,SA13284,SA,94.73
LU11873-R1P3-25778-20210511,20.51,LU11873,NOD/SCID;,LU11873,LU,79.49
LI6611-R10P6-57507-57509-20210608,14.62,LI6611,NOD/SCID;,LI6611,LI,85.38
GA2254-R6P3-31196-20210511,34.07,GA2254,NOD/SCID;,GA2254,GA,65.93
ME12065-R1P3-20170315-33174-20210316,5.65,ME12065,NOD/SCID;,ME12065,ME,94.35
SA13284-R1P2-21417-RF,3.13,SA13284,NOD/SCID;,SA13284,SA,96.87
OV2034-R1P7-86171,32.12,OV2034,NOD/SCID;,OV2034,OV,67.88
SA13284-R1P2-21416-LB,4.3,SA13284,NOD/SCID;,SA13284,SA,95.7
HN9501-R2P6-20201223-R-31271-20210309,6.75,HN9501,NOD/SCID;,HN9501,HN,93.25
BL9216-R1P3-13645-LF,22.79,BL9216,NOD/SCID;,BL9216,BL,77.21
ME12009-R1P3-20170303-33885,13.28,ME12009,NOD/SCID;,ME12009,ME,86.72
OV15631-R1P2-83114-LB,7.15,OV15631,NOD/SCID;,OV15631,OV,92.85
SA13284-R1P3-22212-LF,11.41,SA13284,NOD/SCID;,SA13284,SA,88.59
FT11227-R1P1-51916-20210119,8.67,FT11227,NOD/SCID;,FT11227,FT,91.33
SA4195-R2P3-20210302-16647-20210427,10.32,SA4195,NOD/SCID;,SA4195,SA,89.68
ME12058-R1P2-32893,7.1,ME12058,NOD/SCID;,ME12058,ME,92.9
ES3876-R1P2-20161027-27865-20201208,16.91,ES3876,NOD/SCID;,ES3876,ES,83.09
CC6638-R12P7-20200520-R-41803,9.93,CC6638,NOD/SCID;,CC6638,CC,90.07
OV9410-R2P8-52906-20201215,23.93,OV9410,NOD/SCID;,OV9410,OV,76.07
SA10171-R1P2-26172,10.37,SA10171,NOD/SCID;,SA10171,SA,89.63
OV5308-R1P3-80122-202106015,18.69,OV5308,NOD/SCID;,OV5308,OV,81.31
ES3869-R1P0-20160414-20906-20201229,13.24,ES3869,NOD/SCID;,ES3869,ES,86.76
ME14005-R1P3-25773,19.84,ME14005,NOD/SCID;,ME14005,ME,80.16
SA4234-R2P1-20201119-R-17337-20210208,13.92,SA4234,NOD/SCID;,SA4234,SA,86.08
ES11063-R2P3-31001-RF,23.5,ES11063,NOD/SCID;,ES11063,ES,76.5
ES11063-R2P1-27511-LF,22.04,ES11063,NOD/SCID;,ES11063,ES,77.96
LU5233-R2P3-20170420-38332-20201124,4.94,LU5233,NOD/SCID;,LU5233,LU,95.06
LU11693-R4P6-11806-20201110,48.75,LU11693,NOD/SCID;,LU11693,LU,51.25
CR5040-R1P3-20160322-51784-20201208,15.25,CR5040,NOD/SCID;,CR5040,CR,84.75
SA3849-R5P5-55470-20210511,24.88,SA3849,NOD/SCID;,SA3849,SA,75.12
SA10139-R2P3-94110,4.47,SA10139,NOD/SCID;,SA10139,SA,95.53
ME13991-R2P3-22563,8.61,ME13991,NOD/SCID;,ME13991,ME,91.39
SA3840-R6P6-18738-20210119,6.95,SA3840,NOD/SCID;,SA3840,SA,93.05
PR9586-R1P5-54256-20210126,2.48,PR9586,NOD/SCID;,PR9586,PR,97.52
LU11579-R1P1-20200423-44441-20201103,16.07,LU11579,NOD/SCID;,LU11579,LU,83.93
KI11466-R1P3-20200815-10488-20210223,25.38,KI11466,NOD/SCID;,KI11466,KI,74.62
ME9368-R1P3-20180315-47877-2018-4-25,8.86,ME9368,NOD/SCID;,ME9368,ME,91.14
LU11717-R1P1-20180919-R-16667-20210222,11.88,LU11717,NOD/SCID;,LU11717,LU,88.12
BR9466-R2P7-53744-20210302,11.27,BR9466,NOD/SCID;,BR9466,BR,88.73
GA6843-R4P6-23368-20210330,19.13,GA6843,NOD/SCID;,GA6843,GA,80.87
SA10139-R1P1-20175,7.79,SA10139,NOD/SCID;,SA10139,SA,92.21
OV9410-R1P4-18712,22.1,OV9410,NOD/SCID;,OV9410,OV,77.9
CC9326-R2P6-20210407-28800-20210629,40.12,CC9326,NOD/SCID;,CC9326,CC,59.88
BR5020-R1P3-84836-20201124,21.74,BR5020,NOD/SCID;,BR5020,BR,78.26
AL5518-P4-SP-20200818B-20201028,5.28,AL5518,NOD/SCID;,AL5518,AL,94.72
GA13718-R1P2-20181127-83292-20201229,26.91,GA13718,NOD/SCID;,GA13718,GA,73.09
PA9434-R1P4-20180315-48150-20210323,17.17,PA9434,NOD/SCID;,PA9434,PA,82.83
GA13737-R1P1-20190731-23317,15.93,GA13737,NOD/SCID;,GA13737,GA,84.07
CR15849-R1P3-93328-20210223,19.23,CR15849,NOD/SCID;,CR15849,CR,80.77
CV10976-R1P1-20200618-45364-20210413,6.04,CV10976,NOD/SCID;,CV10976,CV,93.96
GA13737-R1P1-23320-RF,8.13,GA13737,NOD/SCID;,GA13737,GA,91.87
GA0114-R18P6-37837-20210223,11.54,GA0114,NOD/SCID;,GA0114,GA,88.46
PR6511-R1P8-89811,10.94,PR6511,NOD/SCID;,PR6511,PR,89.06
LU11717-R2P3-91115-20210302,50.73,LU11717,NOD/SCID;,LU11717,LU,49.27
MC3044-P1-20210316,36.23,MC3044,NOD/SCID;,MC3044,MC,63.77
PA9434-R2P5-20210317-R-22294-20210511,34.67,PA9434,NOD/SCID;,PA9434,PA,65.33
SA13230-R2P2-09607,18.2,SA13230,NOD/SCID;,SA13230,SA,81.8
CV10951-R1P0-84995-RF,6.1,CV10951,NOD/SCID;,CV10951,CV,93.9
ME9368-R1P3-20180315-47877-20201013,8.81,ME9368,NOD/SCID;,ME9368,ME,91.19
AL5595-P1-11962-20210518,14.51,AL5595,NOD/SCID;,AL5595,AL,85.49
SA4110-R1P0-20170712-1026-20210126,19.73,SA4110,NOD/SCID;,SA4110,SA,80.27
ME9368-R2P4-20200526-R-46143,7.04,ME9368,NOD/SCID;,ME9368,ME,92.96
LU1235-R11P4-20191225-35846,28.49,LU1235,NOD/SCID;,LU1235,LU,71.51
PA13023-R1P0-20200610-R-45024-20201027,34.15,PA13023,NOD/SCID;,PA13023,PA,65.85
ES3910-R1P4-20170523-39444-20210629,32.26,ES3910,NOD/SCID;,ES3910,ES,67.74
FT11172-R1P3-20210126-23907-20210330,10.71,FT11172,NOD/SCID;,FT11172,FT,89.29
PA1457-P15-20200605-XO0298,0.41,PA1457,NOD/SCID;,PA1457,PA,99.59
OV5304-R5P8-4385-20210427,3.65,OV5304,NOD/SCID;,OV5304,OV,96.35
OV5287-R1P2-20181015-82222-20201229,9.8,OV5287,NOD/SCID;,OV5287,OV,90.2
ME9372-R2P3-20200526-46124,21.17,ME9372,NOD/SCID;,ME9372,ME,78.83
BR10527-R1P1-20201117-17104-20210202,6.74,BR10527,NOD/SCID;,BR10527,BR,93.26
LU5245-R7P6-22512-20210525,39.74,LU5245,NOD/SCID;,LU5245,LU,60.26
OV9412-R2P6-96025-20201013,20.74,OV9412,NOD/SCID;,OV9412,OV,79.26
LI5129-R3P7-20200737-12956-20210223,70.06,LI5129,NOD/SCID;,LI5129,LI,29.94
BR9230-R2P7-98079,14.22,BR9230,NOD/SCID;,BR9230,BR,85.78
BL2350-R9P4-93655,40.4,BL2350,NOD/SCID;,BL2350,BL,59.6
OV14661-R1P0-80132-20200825,15.22,OV14661,NOD/SCID;,OV14661,OV,84.78
PE17262-R1P0-94401,39.27,PE17262,NOD/SCID;,PE17262,PE,60.73
PA1306-R6P2-69160,47.3,PA1306,NOD/SCID;,PA1306,PA,52.7
CR15726-R1P0-21653-RF,13.4,CR15726,NOD/SCID;,CR15726,CR,86.6
CV10977-R1P1-20200611-46316,9.26,CV10977,NOD/SCID;,CV10977,CV,90.74
FT11237-R1P0-97173-20201013,4.89,FT11237,NOD/SCID;,FT11237,FT,95.11
GA6876-R1P10-88259-20210202,21.2,GA6876,NOD/SCID;,GA6876,GA,78.8
LU11670-R1P1-78549-LB,15.36,LU11670,NOD/SCID;,LU11670,LU,84.64
