NAME	Cancer	StromalScore	ImmuneScore	ESTIMATEScore
LU6923P8	LUSC	-1172.508369	-442.3845851	-1614.892954
LU6411P26	LUSC	-1216.144771	-711.0514966	-1927.196267
LU0357P6	LUSC	-1775.421557	-623.6035344	-2399.025091
LU6479P12	LUSC	58.6943175	1290.209764	1348.904082
LU1256P5	LUSC	-1578.720289	-804.836334	-2383.556623
LU1116P3	LUSC	-525.8540656	284.9618756	-240.89219
LU0038P5	LUSC	-1362.387643	-819.5967327	-2181.984376
LU1155P1	LUSC	-2364.860589	-1391.360676	-3756.221265
LU0330P3	LUSC	-526.7863762	-222.8245204	-749.6108966
LU9327P3	LUSC	-177.8621516	598.5056069	420.6434553
LU6406P7	LUSC	-342.1730414	849.3489208	507.1758794
LU1219P4	LUSC	-1590.314259	-676.5160003	-2266.83026
LU0697P6	LUSC	-714.9347314	143.5543754	-571.380356
LU2080P7	LUSC	-1498.675436	292.7973842	-1205.878052
LU9334P2	LUSC	95.42521263	978.0892505	1073.514463
LU0858P6	LUSC	-498.480424	312.2614722	-186.2189518
LU0350P7	LUSC	-897.8017496	55.34083445	-842.4609151
LU6420P4	LUSC	-1712.500303	-1028.002981	-2740.503284
LU6440P3	LUSC	281.070301	1167.056516	1448.126817
LU2639P4	LUSC	-2129.909219	-1007.857149	-3137.766368
LU3345P6	LUSC	-1567.858111	-1082.697827	-2650.555938
LU0009P5	LUSC	-1787.001616	-1092.051559	-2879.053175
LU1513P6	LUSC	-1911.046758	-1203.90082	-3114.947578
LU1868P5	LUSC	-520.8180418	-223.7496203	-744.5676621
LU0748P3	LUSC	-1943.611178	-1127.966768	-3071.577947
LU1419P0	LUSC	-2031.716861	-891.1223899	-2922.839251
LU1429P5	LUSC	-1884.707858	-1187.334531	-3072.042389
LU6432P7	LUSC	-1252.44594	-358.3878571	-1610.833797
LU6404P2	LUSC	-1226.145871	-881.9395717	-2108.085442
LU0367P5	LUSC	-132.7020685	1026.556308	893.8542396
LU0755P5	LUSC	-1413.033556	-590.9912279	-2004.024784
LU6917P5	LUSC	-1218.052868	-260.2983419	-1478.35121
LU6434P4	LUSC	-478.3803984	170.314258	-308.0661404
LU0299P5	LUSC	-1859.583045	-1261.27954	-3120.862585
LU5185P1	LUSC	-987.4189855	-62.38599627	-1049.804982
LU1292P2	LUSC	-862.6970502	-497.7455608	-1360.442611
LU2086P7	LUSC	-529.5332821	-414.633664	-944.1669461
LU3073P6	LUSC	-1716.731103	-572.1170426	-2288.848146
LU2540P4	LUSC	-1115.328813	-111.3320513	-1226.660864
LU1690P5	LUSC	-1640.001314	-567.516224	-2207.517538
LU1661P5	LUSC	-1321.435803	-466.8586709	-1788.294474
LU2504P4	LUSC	-394.5119772	724.5016628	329.9896856
LU6426P10	LUSC	-660.4234588	-628.9767725	-1289.400231
LU6477P10	LUSC	-801.8466209	85.70085343	-716.1457675
LU6921P11	LUSC	-2239.339919	-1087.476207	-3326.816125
LU0395P5	LUSC	-351.9646062	459.9817699	108.0171637
LU6429P8	LUSC	-2145.273237	-865.2794196	-3010.552657
LU1627P5	LUSC	-393.1642565	1151.197768	758.0335113
LU6428P10	LUSC	-469.3683884	-209.4969366	-678.865325
LU9357P2	LUSC	-1083.975161	-392.0179222	-1475.993083
LU2071P5	LUSC	-701.8575813	334.9823422	-366.8752391
LU3075P5	LUSC	-343.3678192	-28.89405806	-372.2618773
LU6403P4	LUSC	-1503.597165	-712.8524852	-2216.44965
LU5251P1	LUSC	249.9707332	770.4717867	1020.44252
LU0876P3	LUSC	-1271.776817	-159.9004883	-1431.677305
