sample	TCGA-project	ABSOLUTE_Locallo2019
TCGA-22-1012-01	LUSC	0.33
TCGA-22-1012-01	LUSC	0.4
TCGA-22-1016-01	LUSC	0.36
TCGA-22-1016-01	LUSC	0.79
TCGA-22-4591-01	LUSC	0.63
TCGA-22-4593-01	LUSC	0.47
TCGA-22-4594-01	LUSC	0.36
TCGA-22-4596-01	LUSC	0.24
TCGA-22-4613-01	LUSC	0.52
TCGA-22-5471-01	LUSC	0.39
TCGA-22-5472-01	LUSC	0.55
TCGA-22-5473-01	LUSC	0.55
TCGA-22-5474-01	LUSC	0.46
TCGA-22-5477-01	LUSC	0.72
TCGA-22-5478-01	LUSC	0.23
TCGA-22-5479-01	LUSC	0.28
TCGA-22-5481-01	LUSC	0.64
TCGA-22-5482-01	LUSC	0.6
TCGA-22-5483-01	LUSC	0.65
TCGA-22-5489-01	LUSC	0.43
TCGA-22-5491-01	LUSC	0.64
TCGA-22-5492-01	LUSC	0.54
TCGA-22-A5C4-01	LUSC	0.51
TCGA-33-4533-01	LUSC	0.55
TCGA-33-4566-01	LUSC	0.5
TCGA-33-4582-01	LUSC	0.48
TCGA-33-4589-01	LUSC	0.27
TCGA-33-6738-01	LUSC	0.48
TCGA-33-A4WN-01	LUSC	0.27
TCGA-33-AAS8-01	LUSC	0.59
TCGA-33-AASB-01	LUSC	0.2
TCGA-33-AASD-01	LUSC	0.65
TCGA-33-AASI-01	LUSC	0.32
TCGA-33-AASJ-01	LUSC	0.42
TCGA-33-AASL-01	LUSC	0.42
TCGA-34-2600-01	LUSC	0.43
TCGA-34-2600-01	LUSC	0.79
TCGA-34-2604-01	LUSC	0.27
TCGA-34-2604-01	LUSC	0.34
TCGA-34-2608-01	LUSC	0.59
TCGA-34-2609-01	LUSC	0.93
TCGA-34-5231-01	LUSC	0.56
TCGA-34-5232-01	LUSC	0.26
TCGA-34-5234-01	LUSC	0.4
TCGA-34-5236-01	LUSC	0.19
TCGA-34-5240-01	LUSC	0.62
TCGA-34-5241-01	LUSC	0.22
TCGA-34-5927-01	LUSC	0.71
TCGA-34-5929-01	LUSC	0.55
TCGA-34-7107-01	LUSC	0.61
TCGA-34-8454-01	LUSC	0.38
TCGA-34-8455-01	LUSC	0.43
TCGA-34-A5IX-01	LUSC	0.42
TCGA-37-3783-01	LUSC	0.33
TCGA-37-3789-01	LUSC	0.53
TCGA-37-3792-01	LUSC	0.42
TCGA-37-4129-01	LUSC	0.39
TCGA-37-4132-01	LUSC	0.56
TCGA-37-4135-01	LUSC	0.76
TCGA-37-4141-01	LUSC	0.47
TCGA-37-5819-01	LUSC	0.68
TCGA-37-A5EL-01	LUSC	0.71
TCGA-37-A5EN-01	LUSC	0.53
TCGA-39-5016-01	LUSC	0.46
TCGA-39-5019-01	LUSC	0.33
TCGA-39-5022-01	LUSC	0.39
TCGA-39-5024-01	LUSC	0.31
TCGA-39-5027-01	LUSC	0.61
TCGA-39-5028-01	LUSC	0.2
TCGA-39-5029-01	LUSC	0.35
TCGA-39-5030-01	LUSC	0.29
TCGA-39-5034-01	LUSC	0.28
TCGA-39-5035-01	LUSC	0.41
TCGA-39-5036-01	LUSC	0.49
TCGA-39-5037-01	LUSC	0.59
TCGA-39-5039-01	LUSC	0.26
TCGA-43-2578-01	LUSC	0.43
TCGA-43-2581-01	LUSC	0.36
TCGA-43-2581-01	LUSC	0.26
TCGA-43-3920-01	LUSC	0.7
TCGA-43-5668-01	LUSC	0.37
TCGA-43-6143-01	LUSC	0.67
TCGA-43-6647-01	LUSC	0.33
TCGA-43-6770-01	LUSC	0.61
TCGA-43-6771-01	LUSC	0.38
TCGA-43-6773-01	LUSC	0.27
TCGA-43-8115-01	LUSC	0.4
TCGA-43-8116-01	LUSC	0.47
TCGA-43-8118-01	LUSC	0.32
TCGA-43-A474-01	LUSC	0.29
TCGA-43-A475-01	LUSC	0.33
TCGA-43-A56U-01	LUSC	0.27
TCGA-43-A56V-01	LUSC	0.51
TCGA-46-3765-01	LUSC	0.48
TCGA-46-3766-01	LUSC	0.22
TCGA-46-3767-01	LUSC	0.43
TCGA-46-3768-01	LUSC	0.74
TCGA-46-3769-01	LUSC	0.59
TCGA-46-6025-01	LUSC	0.52
TCGA-46-6026-01	LUSC	0.79
TCGA-51-4079-01	LUSC	0.54
TCGA-51-4080-01	LUSC	0.9
TCGA-56-5897-01	LUSC	0.28
TCGA-56-5898-01	LUSC	0.33
TCGA-56-6545-01	LUSC	0.28
TCGA-56-6546-01	LUSC	0.79
TCGA-56-7823-01	LUSC	0.79
TCGA-56-8082-01	LUSC	0.63
TCGA-56-8083-01	LUSC	0.82
TCGA-56-8304-01	LUSC	0.48
TCGA-56-8305-01	LUSC	0.5
TCGA-56-8307-01	LUSC	0.47
TCGA-56-8309-01	LUSC	0.3
TCGA-56-8504-01	LUSC	0.28
TCGA-56-8622-01	LUSC	0.43
TCGA-56-8624-01	LUSC	0.6
TCGA-56-8625-01	LUSC	0.24
TCGA-56-8626-01	LUSC	0.27
TCGA-56-8629-01	LUSC	0.61
TCGA-56-A49D-01	LUSC	0.54
TCGA-56-A4BW-01	LUSC	0.72
TCGA-56-A4BX-01	LUSC	1
TCGA-56-A4BY-01	LUSC	0.42
TCGA-56-A4ZJ-01	LUSC	0.22
TCGA-56-A5DS-01	LUSC	0.3
TCGA-56-A62T-01	LUSC	0.52
TCGA-58-8386-01	LUSC	0.31
TCGA-58-8387-01	LUSC	0.38
TCGA-58-8388-01	LUSC	0.7
TCGA-58-8390-01	LUSC	0.81
TCGA-58-8393-01	LUSC	0.27
TCGA-58-A46K-01	LUSC	0.32
TCGA-58-A46M-01	LUSC	0.5
TCGA-58-A46N-01	LUSC	0.84
TCGA-60-2695-01	LUSC	0.69
TCGA-60-2698-01	LUSC	0.33
TCGA-60-2707-01	LUSC	0.46
TCGA-60-2707-01	LUSC	0.5
TCGA-60-2708-01	LUSC	0.91
TCGA-60-2710-01	LUSC	1
TCGA-60-2710-01	LUSC	0.62
TCGA-60-2711-01	LUSC	0.47
TCGA-60-2713-01	LUSC	0.63
TCGA-60-2713-01	LUSC	0.58
TCGA-60-2714-01	LUSC	0.43
TCGA-60-2716-01	LUSC	0.4
TCGA-60-2716-01	LUSC	0.27
TCGA-60-2719-01	LUSC	0.6
TCGA-60-2719-01	LUSC	0.48
TCGA-60-2720-01	LUSC	0.26
TCGA-60-2721-01	LUSC	0.43
TCGA-60-2721-01	LUSC	0.49
TCGA-60-2722-01	LUSC	0.71
TCGA-60-2723-01	LUSC	0.31
TCGA-60-2723-01	LUSC	0.4
TCGA-60-2724-01	LUSC	0.35
TCGA-60-2725-01	LUSC	0.28
TCGA-60-2726-01	LUSC	0.4
TCGA-63-5128-01	LUSC	0.69
TCGA-63-5131-01	LUSC	0.48
TCGA-63-6202-01	LUSC	0.41
TCGA-63-7020-01	LUSC	0.43
TCGA-63-7021-01	LUSC	0.21
TCGA-63-7022-01	LUSC	0.21
TCGA-63-7023-01	LUSC	0.74
TCGA-63-A5MG-01	LUSC	0.19
TCGA-63-A5MH-01	LUSC	0.82
TCGA-63-A5MI-01	LUSC	0.46
TCGA-63-A5MJ-01	LUSC	0.45
TCGA-63-A5ML-01	LUSC	0.63
TCGA-63-A5MM-01	LUSC	0.3
TCGA-63-A5MN-01	LUSC	0.23
TCGA-63-A5MP-01	LUSC	0.31
TCGA-63-A5MR-01	LUSC	0.27
TCGA-63-A5MS-01	LUSC	0.82
TCGA-63-A5MU-01	LUSC	0.77
TCGA-63-A5MV-01	LUSC	0.47
TCGA-63-A5MW-01	LUSC	0.65
TCGA-66-2727-01	LUSC	0.45
TCGA-66-2734-01	LUSC	0.4
TCGA-66-2742-01	LUSC	0.44
TCGA-66-2754-01	LUSC	0.79
TCGA-66-2755-01	LUSC	0.66
TCGA-66-2756-01	LUSC	0.68
TCGA-66-2756-01	LUSC	0.45
TCGA-66-2757-01	LUSC	0.75
TCGA-66-2757-01	LUSC	0.75
TCGA-66-2758-01	LUSC	0.28
TCGA-66-2758-01	LUSC	0.65
TCGA-66-2759-01	LUSC	0.5
TCGA-66-2759-01	LUSC	0.54
TCGA-66-2763-01	LUSC	0.5
TCGA-66-2763-01	LUSC	0.57
TCGA-66-2765-01	LUSC	0.44
TCGA-66-2766-01	LUSC	0.7
TCGA-66-2767-01	LUSC	0.57
TCGA-66-2767-01	LUSC	0.29
TCGA-66-2768-01	LUSC	0.61
TCGA-66-2769-01	LUSC	0.36
TCGA-66-2771-01	LUSC	0.38
TCGA-66-2773-01	LUSC	0.31
TCGA-66-2778-01	LUSC	0.21
TCGA-66-2780-01	LUSC	0.5
TCGA-66-2782-01	LUSC	0.31
TCGA-66-2783-01	LUSC	0.53
TCGA-66-2785-01	LUSC	0.58
TCGA-66-2786-01	LUSC	0.37
TCGA-66-2786-01	LUSC	0.42
TCGA-66-2787-01	LUSC	0.35
TCGA-66-2788-01	LUSC	0.39
TCGA-66-2789-01	LUSC	0.53
TCGA-66-2791-01	LUSC	0.41
TCGA-66-2792-01	LUSC	0.62
TCGA-66-2793-01	LUSC	0.86
TCGA-66-2794-01	LUSC	0.4
TCGA-66-2800-01	LUSC	0.54
TCGA-68-7757-01	LUSC	0.29
TCGA-68-8251-01	LUSC	0.28
TCGA-68-A59J-01	LUSC	0.48
TCGA-6A-AB49-01	LUSC	0.64
TCGA-70-6722-01	LUSC	0.35
TCGA-70-6723-01	LUSC	0.77
TCGA-77-6842-01	LUSC	0.46
TCGA-77-6843-01	LUSC	0.64
TCGA-77-6844-01	LUSC	0.62
TCGA-77-6845-01	LUSC	0.7
TCGA-77-8128-01	LUSC	0.63
TCGA-77-8130-01	LUSC	0.29
TCGA-77-8131-01	LUSC	0.21
TCGA-77-8138-01	LUSC	0.32
TCGA-77-8139-01	LUSC	0.45
TCGA-77-8140-01	LUSC	0.55
TCGA-77-8143-01	LUSC	0.66
TCGA-77-8145-01	LUSC	0.35
TCGA-77-8148-01	LUSC	0.66
TCGA-77-8150-01	LUSC	0.52
TCGA-77-8153-01	LUSC	0.66
TCGA-77-8154-01	LUSC	0.68
TCGA-77-8156-01	LUSC	0.28
TCGA-77-A5FZ-01	LUSC	0.17
TCGA-77-A5G1-01	LUSC	0.18
TCGA-77-A5G3-01	LUSC	0.66
TCGA-77-A5G7-01	LUSC	0.47
TCGA-77-A5G8-01	LUSC	0.68
TCGA-77-A5GB-01	LUSC	0.25
TCGA-77-A5GH-01	LUSC	0.31
TCGA-79-5596-01	LUSC	0.66
TCGA-85-6175-01	LUSC	0.36
TCGA-85-6561-01	LUSC	0.33
TCGA-85-6798-01	LUSC	0.46
TCGA-85-8048-01	LUSC	0.21
TCGA-85-8049-01	LUSC	0.25
TCGA-85-8070-01	LUSC	0.85
TCGA-85-8071-01	LUSC	0.69
TCGA-85-8072-01	LUSC	0.47
TCGA-85-8276-01	LUSC	0.35
TCGA-85-8277-01	LUSC	0.53
TCGA-85-8287-01	LUSC	0.28
TCGA-85-8350-01	LUSC	0.3
TCGA-85-8352-01	LUSC	0.81
TCGA-85-8353-01	LUSC	0.21
TCGA-85-8354-01	LUSC	0.7
TCGA-85-8479-01	LUSC	0.6
TCGA-85-8481-01	LUSC	0.25
TCGA-85-8580-01	LUSC	0.29
TCGA-85-8584-01	LUSC	0.34
TCGA-85-8664-01	LUSC	0.59
TCGA-85-8666-01	LUSC	0.26
TCGA-85-A4CL-01	LUSC	0.47
TCGA-85-A4CN-01	LUSC	0.32
TCGA-85-A4JB-01	LUSC	0.34
TCGA-85-A4PA-01	LUSC	0.22
TCGA-85-A4QR-01	LUSC	0.68
TCGA-85-A50M-01	LUSC	0.21
TCGA-85-A511-01	LUSC	0.25
TCGA-85-A512-01	LUSC	0.57
TCGA-85-A513-01	LUSC	0.38
TCGA-85-A53L-01	LUSC	0.25
TCGA-90-A4EE-01	LUSC	0.26
TCGA-90-A59Q-01	LUSC	0.25
TCGA-92-7340-01	LUSC	0.55
TCGA-92-8063-01	LUSC	0.36
TCGA-92-8063-01	LUSC	0.4
TCGA-92-8064-01	LUSC	0.29
TCGA-92-8064-01	LUSC	0.25
TCGA-92-8065-01	LUSC	0.6
TCGA-94-7033-01	LUSC	0.43
TCGA-94-8490-01	LUSC	0.51
TCGA-94-A4VJ-01	LUSC	0.51
TCGA-94-A5I6-01	LUSC	0.36
TCGA-96-8169-01	LUSC	0.37
TCGA-96-8170-01	LUSC	0.2
TCGA-98-8023-01	LUSC	0.28
TCGA-98-A538-01	LUSC	0.42
TCGA-98-A539-01	LUSC	0.44
TCGA-98-A53A-01	LUSC	0.52
TCGA-98-A53B-01	LUSC	0.38
TCGA-98-A53C-01	LUSC	0.18
TCGA-98-A53I-01	LUSC	0.48
TCGA-J1-A4AH-01	LUSC	0.37
TCGA-L3-A4E7-01	LUSC	0.42
TCGA-LA-A7SW-01	LUSC	0.29
TCGA-NC-A5HD-01	LUSC	0.6
TCGA-NC-A5HE-01	LUSC	0.3
TCGA-NC-A5HF-01	LUSC	0.68
TCGA-NC-A5HG-01	LUSC	0.79
TCGA-NC-A5HH-01	LUSC	0.73
TCGA-NC-A5HI-01	LUSC	0.54
TCGA-NC-A5HJ-01	LUSC	0.19
TCGA-NC-A5HK-01	LUSC	0.51
TCGA-NC-A5HP-01	LUSC	0.66
TCGA-NC-A5HT-01	LUSC	0.69
TCGA-NK-A5CR-01	LUSC	0.69
TCGA-NK-A5CT-01	LUSC	0.31
TCGA-NK-A5CX-01	LUSC	0.27
TCGA-O2-A52N-01	LUSC	0.38
TCGA-O2-A52Q-01	LUSC	0.42
TCGA-O2-A52S-01	LUSC	0.67
TCGA-O2-A52V-01	LUSC	0.24
TCGA-O2-A52W-01	LUSC	0.35
TCGA-3H-AB3L-01	MESO	0.41
TCGA-3H-AB3M-01	MESO	0.63
TCGA-3H-AB3S-01	MESO	0.22
TCGA-3H-AB3U-01	MESO	0.34
TCGA-3H-AB3X-01	MESO	0.56
TCGA-3U-A98D-01	MESO	0.41
TCGA-3U-A98E-01	MESO	0.67
TCGA-3U-A98F-01	MESO	0.8
TCGA-3U-A98G-01	MESO	0.23
TCGA-3U-A98I-01	MESO	0.26
TCGA-LK-A4NW-01	MESO	0.49
TCGA-LK-A4NZ-01	MESO	0.24
TCGA-LK-A4O0-01	MESO	0.29
TCGA-LK-A4O2-01	MESO	0.31
TCGA-LK-A4O4-01	MESO	0.21
TCGA-LK-A4O5-01	MESO	0.64
TCGA-LK-A4O6-01	MESO	0.27
TCGA-MQ-A4KX-01	MESO	0.19
TCGA-MQ-A4LI-01	MESO	0.56
TCGA-MQ-A4LJ-01	MESO	0.23
TCGA-MQ-A4LM-01	MESO	0.49
TCGA-MQ-A4LP-01	MESO	0.6
TCGA-MQ-A4LV-01	MESO	0.38
TCGA-MQ-A6BL-01	MESO	0.21
TCGA-MQ-A6BQ-01	MESO	0.49
TCGA-MQ-A6BR-01	MESO	0.21
TCGA-NQ-A57I-01	MESO	0.5
TCGA-SC-A6LM-01	MESO	0.41
TCGA-SC-A6LN-01	MESO	0.57
TCGA-SC-A6LP-01	MESO	0.32
TCGA-SC-A6LR-01	MESO	0.21
TCGA-SC-AA5Z-01	MESO	0.21
TCGA-SH-A7BD-01	MESO	0.41
TCGA-SH-A7BH-01	MESO	0.75
TCGA-SH-A9CU-01	MESO	0.66
TCGA-TS-A7OU-01	MESO	0.27
TCGA-TS-A7OY-01	MESO	0.25
TCGA-TS-A7OZ-01	MESO	0.36
TCGA-TS-A7P0-01	MESO	0.38
TCGA-TS-A7P3-01	MESO	0.24
TCGA-TS-A7P6-01	MESO	0.48
TCGA-TS-A7P8-01	MESO	0.26
TCGA-TS-A7PB-01	MESO	0.41
TCGA-UD-AABZ-01	MESO	0.45
TCGA-UD-AAC1-01	MESO	0.23
TCGA-UD-AAC4-01	MESO	0.23
TCGA-UD-AAC5-01	MESO	0.42
TCGA-UD-AAC7-01	MESO	0.51
TCGA-UT-A88C-01	MESO	0.36
TCGA-UT-A88E-01	MESO	0.74
TCGA-UT-A88G-01	MESO	0.75
TCGA-UT-A97Y-01	MESO	0.18
TCGA-XT-AASU-01	MESO	0.34
TCGA-YS-A95B-01	MESO	0.56
TCGA-ZN-A9VO-01	MESO	0.48
TCGA-ZN-A9VP-01	MESO	0.67
TCGA-ZN-A9VQ-01	MESO	0.89
TCGA-ZN-A9VU-01	MESO	0.6
TCGA-ZN-A9VV-01	MESO	0.29
TCGA-ZN-A9VW-01	MESO	0.59
TCGA-04-1332-01	OV	0.74
TCGA-04-1336-01	OV	0.89
TCGA-04-1341-01	OV	0.66
TCGA-04-1343-01	OV	0.47
TCGA-04-1346-01	OV	0.74
TCGA-04-1347-01	OV	1
TCGA-04-1348-01	OV	0.6
TCGA-04-1349-01	OV	0.77
TCGA-04-1361-01	OV	0.66
TCGA-09-0364-01	OV	0.65
TCGA-09-2043-01	OV	0.58
TCGA-09-2044-01	OV	0.45
TCGA-09-2044-01	OV	0.79
TCGA-09-2049-01	OV	0.48
TCGA-09-2053-01	OV	0.69
TCGA-09-2055-01	OV	0.78
TCGA-10-0928-01	OV	0.87
TCGA-10-0937-01	OV	0.84
TCGA-13-0714-01	OV	0.71
TCGA-13-0755-01	OV	0.72
TCGA-13-0757-01	OV	0.87
TCGA-13-0760-01	OV	0.75
TCGA-13-0791-01	OV	0.69
TCGA-13-0795-01	OV	0.39
TCGA-13-0800-01	OV	0.74
TCGA-13-0889-01	OV	0.64
TCGA-13-0906-01	OV	0.77
TCGA-13-1403-01	OV	0.55
TCGA-13-1411-01	OV	0.5
TCGA-13-1412-01	OV	0.71
TCGA-13-1477-01	OV	0.55
TCGA-13-1505-01	OV	0.61
TCGA-13-1505-01	OV	0.58
TCGA-13-1511-01	OV	0.73
TCGA-13-2060-01	OV	0.46
TCGA-20-0991-01	OV	0.47
TCGA-23-1021-01	OV	0.69
TCGA-23-1022-01	OV	0.86
TCGA-23-1110-01	OV	0.9
TCGA-23-1123-01	OV	0.46
TCGA-23-1124-01	OV	0.68
TCGA-23-2077-01	OV	0.5
TCGA-23-2078-01	OV	0.6
TCGA-23-2079-01	OV	0.79
TCGA-23-2081-01	OV	0.74
TCGA-24-1431-01	OV	0.75
TCGA-24-1467-01	OV	0.52
TCGA-24-1550-01	OV	0.69
TCGA-24-1927-01	OV	0.58
TCGA-24-2019-01	OV	0.74
TCGA-24-2030-01	OV	0.75
TCGA-24-2033-01	OV	0.53
TCGA-24-2035-01	OV	0.58
TCGA-24-2038-01	OV	0.33
TCGA-24-2254-01	OV	0.57
TCGA-24-2262-01	OV	0.67
TCGA-24-2267-01	OV	0.31
TCGA-24-2271-01	OV	0.43
TCGA-24-2280-01	OV	0.62
TCGA-24-2281-01	OV	0.73
TCGA-24-2288-01	OV	0.28
TCGA-24-2289-01	OV	0.74
TCGA-24-2290-01	OV	0.74
TCGA-24-2298-01	OV	0.62
TCGA-25-1312-01	OV	0.76
TCGA-25-1319-01	OV	0.66
TCGA-25-2042-01	OV	0.5
TCGA-25-2391-01	OV	0.52
TCGA-25-2392-01	OV	0.22
TCGA-25-2393-01	OV	0.77
TCGA-25-2396-01	OV	0.74
TCGA-25-2396-01	OV	0.38
TCGA-25-2397-01	OV	0.41
TCGA-25-2397-01	OV	0.38
TCGA-25-2398-01	OV	0.44
TCGA-25-2398-01	OV	0.43
TCGA-25-2399-01	OV	0.52
TCGA-25-2400-01	OV	0.69
TCGA-25-2401-01	OV	0.46
TCGA-25-2404-01	OV	0.27
TCGA-25-2408-01	OV	0.38
TCGA-30-1853-01	OV	0.9
TCGA-30-1862-01	OV	0.43
TCGA-30-1891-01	OV	0.55
TCGA-31-1953-01	OV	0.22
TCGA-31-1959-01	OV	0.33
TCGA-57-1992-01	OV	0.66
TCGA-57-1993-01	OV	0.64
TCGA-59-2348-01	OV	0.39
TCGA-59-2350-01	OV	0.5
TCGA-59-2351-01	OV	0.44
TCGA-59-2352-01	OV	0.36
TCGA-59-2354-01	OV	0.44
TCGA-59-2355-01	OV	0.49
TCGA-59-2363-01	OV	0.48
TCGA-61-1728-01	OV	0.47
TCGA-61-1734-01	OV	0.62
TCGA-61-1919-01	OV	0.55
TCGA-61-1995-01	OV	0.59
TCGA-61-1998-01	OV	0.67
TCGA-61-2000-01	OV	0.87
TCGA-61-2002-01	OV	0.61
TCGA-61-2003-01	OV	0.53
TCGA-61-2008-01	OV	0.69
TCGA-61-2009-01	OV	0.93
TCGA-61-2018-01	OV	0.82
TCGA-61-2088-01	OV	0.41
TCGA-61-2092-01	OV	0.54
TCGA-61-2094-01	OV	0.45
TCGA-61-2095-01	OV	0.59
TCGA-61-2097-01	OV	0.53
TCGA-61-2101-01	OV	0.62
TCGA-61-2109-01	OV	0.85
TCGA-61-2110-01	OV	0.78
TCGA-61-2113-01	OV	0.61
TCGA-2J-AAB1-01	PAAD	0.24
TCGA-2J-AAB4-01	PAAD	0.25
TCGA-2J-AAB8-01	PAAD	0.78
TCGA-2J-AAB9-01	PAAD	0.23
TCGA-2J-AABA-01	PAAD	0.25
TCGA-2J-AABE-01	PAAD	0.22
TCGA-2J-AABF-01	PAAD	0.35
TCGA-2J-AABV-01	PAAD	0.18
TCGA-2L-AAQA-01	PAAD	0.59
TCGA-2L-AAQE-01	PAAD	0.35
TCGA-2L-AAQI-01	PAAD	0.26
TCGA-2L-AAQJ-01	PAAD	0.3
TCGA-3A-A9I5-01	PAAD	0.29
TCGA-3A-A9I9-01	PAAD	0.22
TCGA-3A-A9IB-01	PAAD	0.23
TCGA-3A-A9IC-01	PAAD	0.29
TCGA-3A-A9IH-01	PAAD	0.32
TCGA-3A-A9IJ-01	PAAD	0.17
TCGA-3A-A9IL-01	PAAD	0.72
TCGA-3A-A9IN-01	PAAD	0.39
TCGA-3A-A9IR-01	PAAD	0.41
TCGA-3A-A9IS-01	PAAD	0.85
TCGA-3A-A9IU-01	PAAD	0.36
TCGA-3A-A9IV-01	PAAD	0.78
TCGA-3A-A9IX-01	PAAD	0.17
TCGA-3A-A9IZ-01	PAAD	0.35
TCGA-3A-A9J0-01	PAAD	0.28
TCGA-F2-7273-01	PAAD	0.25
TCGA-F2-7276-01	PAAD	0.24
TCGA-F2-A44G-01	PAAD	0.21
TCGA-F2-A44H-01	PAAD	0.23
TCGA-F2-A7TX-01	PAAD	0.34
TCGA-F2-A8YN-01	PAAD	0.55
TCGA-FB-A4P5-01	PAAD	0.28
TCGA-FB-A5VM-01	PAAD	0.29
TCGA-FB-A78T-01	PAAD	0.35
TCGA-FB-A7DR-01	PAAD	0.26
TCGA-FB-AAPP-01	PAAD	0.5
TCGA-FB-AAPQ-01	PAAD	0.3
TCGA-FB-AAPS-01	PAAD	0.2
TCGA-FB-AAPU-01	PAAD	0.49
TCGA-FB-AAPY-01	PAAD	0.21
TCGA-FB-AAPZ-01	PAAD	0.93
TCGA-FB-AAQ1-01	PAAD	0.78
TCGA-FB-AAQ2-01	PAAD	0.26
TCGA-FB-AAQ3-01	PAAD	0.2
TCGA-FB-AAQ6-01	PAAD	0.6
TCGA-FZ-5922-01	PAAD	0.22
TCGA-FZ-5926-01	PAAD	0.41
TCGA-H6-A45N-01	PAAD	0.31
TCGA-HV-A5A4-01	PAAD	0.4
TCGA-HV-A5A6-01	PAAD	0.41
TCGA-HV-A7OL-01	PAAD	0.22
TCGA-HV-A7OP-01	PAAD	0.77
TCGA-HV-AA8X-01	PAAD	0.45
TCGA-HZ-7289-01	PAAD	0.86
TCGA-HZ-7922-01	PAAD	0.35
TCGA-HZ-7924-01	PAAD	0.21
TCGA-HZ-7925-01	PAAD	0.23
TCGA-HZ-8005-01	PAAD	0.97
TCGA-HZ-8315-01	PAAD	0.25
TCGA-HZ-8317-01	PAAD	0.2
TCGA-HZ-8519-01	PAAD	0.26
TCGA-HZ-8636-01	PAAD	0.34
TCGA-HZ-8637-01	PAAD	0.17
TCGA-HZ-8638-01	PAAD	0.22
TCGA-HZ-A49G-01	PAAD	0.4
TCGA-HZ-A49H-01	PAAD	0.24
TCGA-HZ-A49I-01	PAAD	0.22
TCGA-HZ-A4BH-01	PAAD	0.39
TCGA-HZ-A4BK-01	PAAD	0.57
TCGA-HZ-A77O-01	PAAD	0.41
TCGA-HZ-A77Q-01	PAAD	0.19
TCGA-HZ-A8P0-01	PAAD	0.22
TCGA-HZ-A8P1-01	PAAD	0.64
TCGA-HZ-A9TJ-01	PAAD	0.46
TCGA-HZ-A9TJ-06	PAAD	0.44
TCGA-IB-7644-01	PAAD	0.45
TCGA-IB-7646-01	PAAD	0.28
TCGA-IB-7647-01	PAAD	0.4
TCGA-IB-7651-01	PAAD	0.49
TCGA-IB-7652-01	PAAD	0.21
TCGA-IB-7885-01	PAAD	0.29
TCGA-IB-7889-01	PAAD	0.57
TCGA-IB-7890-01	PAAD	0.32
TCGA-IB-7891-01	PAAD	0.19
TCGA-IB-7893-01	PAAD	0.2
TCGA-IB-7897-01	PAAD	0.19
TCGA-IB-8126-01	PAAD	0.18
TCGA-IB-8127-01	PAAD	0.46
TCGA-IB-A5SP-01	PAAD	0.52
TCGA-IB-A5SQ-01	PAAD	0.16
TCGA-IB-A5ST-01	PAAD	0.3
TCGA-IB-A6UF-01	PAAD	0.38
TCGA-IB-A6UG-01	PAAD	0.18
TCGA-IB-A7LX-01	PAAD	0.34
TCGA-IB-A7M4-01	PAAD	0.38
TCGA-IB-AAUM-01	PAAD	0.71
TCGA-IB-AAUN-01	PAAD	0.54
TCGA-IB-AAUO-01	PAAD	0.33
TCGA-IB-AAUR-01	PAAD	0.17
TCGA-IB-AAUS-01	PAAD	0.19
TCGA-IB-AAUT-01	PAAD	0.45
TCGA-M8-A5N4-01	PAAD	0.37
TCGA-PZ-A5RE-01	PAAD	0.41
TCGA-Q3-A5QY-01	PAAD	0.22
TCGA-Q3-AA2A-01	PAAD	0.22
TCGA-RB-A7B8-01	PAAD	0.31
TCGA-S4-A8RM-01	PAAD	0.58
TCGA-S4-A8RO-01	PAAD	0.64
TCGA-S4-A8RP-01	PAAD	0.33
TCGA-US-A774-01	PAAD	0.26
TCGA-US-A77E-01	PAAD	0.2
TCGA-US-A77G-01	PAAD	0.25
TCGA-XD-AAUG-01	PAAD	0.28
TCGA-XD-AAUI-01	PAAD	0.16
TCGA-XD-AAUL-01	PAAD	0.19
TCGA-XN-A8T5-01	PAAD	0.24
TCGA-YH-A8SY-01	PAAD	0.2
TCGA-YY-A8LH-01	PAAD	0.5
TCGA-P7-A5NY-05	PCPG	0.46
TCGA-P8-A5KC-01	PCPG	0.18
TCGA-P8-A5KD-01	PCPG	0.77
TCGA-P8-A6RY-01	PCPG	0.89
TCGA-PR-A5PG-01	PCPG	0.72
TCGA-PR-A5PH-01	PCPG	0.72
TCGA-QR-A6GR-01	PCPG	0.69
TCGA-QR-A6GS-01	PCPG	0.77
TCGA-QR-A6GT-01	PCPG	0.43
TCGA-QR-A6GU-01	PCPG	0.69
TCGA-QR-A6GZ-01	PCPG	0.47
TCGA-QR-A6H1-01	PCPG	0.78
TCGA-QR-A6H2-01	PCPG	0.65
TCGA-QR-A6H3-01	PCPG	0.5
TCGA-QR-A6H5-01	PCPG	0.35
TCGA-QR-A6H6-01	PCPG	0.74
TCGA-QR-A700-01	PCPG	0.37
TCGA-QR-A702-01	PCPG	0.9
TCGA-QR-A70C-01	PCPG	0.38
TCGA-QR-A70E-01	PCPG	0.87
TCGA-QR-A70H-01	PCPG	0.83
TCGA-QR-A70W-01	PCPG	0.93
TCGA-QR-A70X-01	PCPG	0.6
TCGA-QR-A7IP-01	PCPG	0.71
TCGA-QT-A5XJ-01	PCPG	0.82
TCGA-QT-A5XK-01	PCPG	0.73
TCGA-QT-A5XL-01	PCPG	0.24
TCGA-QT-A5XM-01	PCPG	0.56
